Date,Time,Call Volume,AHT
01-01-2018,00:00,147,397
01-01-2018,00:30,155,399
01-01-2018,01:00,167,394
01-01-2018,01:30,161,409
01-01-2018,02:00,153,402
01-01-2018,02:30,180,394
01-01-2018,03:00,191,397
01-01-2018,03:30,182,404
01-01-2018,04:00,170,402
01-01-2018,04:30,176,404
01-01-2018,05:00,189,406
01-01-2018,05:30,184,397
01-01-2018,06:00,173,408
01-01-2018,06:30,158,410
01-01-2018,07:00,152,403
01-01-2018,07:30,180,408
01-01-2018,08:00,177,395
01-01-2018,08:30,165,391
01-01-2018,09:00,157,394
01-01-2018,09:30,181,406
01-01-2018,10:00,262,408
01-01-2018,10:30,254,399
01-01-2018,11:00,236,409
01-01-2018,11:30,248,397
01-01-2018,12:00,282,402
01-01-2018,12:30,272,399
01-01-2018,13:00,242,391
01-01-2018,13:30,230,405
01-01-2018,14:00,230,408
01-01-2018,14:30,232,397
01-01-2018,15:00,265,405
01-01-2018,15:30,248,410
01-01-2018,16:00,229,394
01-01-2018,16:30,229,398
01-01-2018,17:00,145,398
01-01-2018,17:30,175,406
01-01-2018,18:00,184,406
01-01-2018,18:30,181,404
01-01-2018,19:00,173,400
01-01-2018,19:30,168,396
01-01-2018,20:00,157,399
01-01-2018,20:30,150,409
01-01-2018,21:00,162,405
01-01-2018,21:30,182,406
01-01-2018,22:00,135,394
01-01-2018,22:30,168,405
01-01-2018,23:00,155,408
01-01-2018,23:30,182,398
02-01-2018,00:00,549,339
02-01-2018,00:30,530,342
02-01-2018,01:00,604,337
02-01-2018,01:30,570,331
02-01-2018,02:00,578,345
02-01-2018,02:30,583,340
02-01-2018,03:00,630,349
02-01-2018,03:30,575,331
02-01-2018,04:00,584,336
02-01-2018,04:30,532,346
02-01-2018,05:00,569,330
02-01-2018,05:30,578,348
02-01-2018,06:00,550,346
02-01-2018,06:30,571,348
02-01-2018,07:00,532,331
02-01-2018,07:30,568,341
02-01-2018,08:00,548,331
02-01-2018,08:30,585,331
02-01-2018,09:00,536,340
02-01-2018,09:30,566,334
02-01-2018,10:00,852,331
02-01-2018,10:30,817,332
02-01-2018,11:00,913,337
02-01-2018,11:30,822,332
02-01-2018,12:00,869,345
02-01-2018,12:30,859,330
02-01-2018,13:00,835,335
02-01-2018,13:30,842,345
02-01-2018,14:00,866,332
02-01-2018,14:30,832,342
02-01-2018,15:00,865,348
02-01-2018,15:30,835,337
02-01-2018,16:00,885,343
02-01-2018,16:30,837,342
02-01-2018,17:00,542,339
02-01-2018,17:30,574,338
02-01-2018,18:00,590,339
02-01-2018,18:30,544,335
02-01-2018,19:00,524,334
02-01-2018,19:30,599,348
02-01-2018,20:00,563,332
02-01-2018,20:30,571,340
02-01-2018,21:00,566,347
